# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
B60T,turboprop
B701,mediumJet
B703,heavyJet
B712,mediumJet
B720,mediumJet
B721,mediumJet
B722,mediumJet
B732,mediumJet
B733,mediumJet
B734,mediumJet
B735,mediumJet
B736,mediumJet
B737,mediumJet
B738,mediumJet
B739,mediumJet
B741,heavyJet
B742,heavyJet
B743,heavyJet
B744,heavyJet
B748,heavyJet
B74F,heavyJet
B74R,heavyJet
B74S,heavyJet
B752,heavyJet
B753,heavyJet
B762,heavyJet
B763,heavyJet
B764,heavyJet
B772,heavyJet
B773,heavyJet
B778,heavyJet
B779,heavyJet
B77L,heavyJet
B77W,heavyJet
B788,heavyJet
B789,heavyJet
B78X,heavyJet
BA11,mediumJet
BABY,helicopter
BALL,unpowered
BARC,lightPiston
BASS,lightPiston
BBAT,lightPiston
BBIR,lightPiston
BCA3,lightPiston
BCAT,lightPiston
BCMP,lightPiston
BCS1,mediumJet
BCS3,mediumJet
BD10,regionalJet
BD17,lightPiston
BD4,lightPiston
BD5,lightPiston
BD5J,regionalJet
BD5T,turboprop
BDOG,lightPiston
BE10,turboprop
BE12,turboprop
BE17,lightPiston
BE18,lightPiston
BE19,lightPiston
BE20,turboprop
BE22,turboprop
BE23,lightPiston
BE24,lightPiston
BE30,turboprop
BE32,turboprop
BE33,lightPiston
BE35,lightPiston
BE36,lightPiston
BE40,mediumJet
BE4W,mediumJet
BE50,lightPiston
BE55,lightPiston
BE56,lightPiston
BE58,lightPiston
BE60,lightPiston
BE65,lightPiston
BE70,lightPiston
BE76,lightPiston
BE77,lightPiston
BE80,lightPiston
BE88,lightPiston
BE95,lightPiston
BE99,turboprop
BE9L,turboprop
BE9T,turboprop
BEA5,lightPiston
BEAR,lightPiston
BELF,turboprop
BER2,mediumJet
BER4,mediumJet
BETA,lightPiston
BEVR,lightPiston
BF19,lightPiston
BFIT,lightPiston
BILO,lightPiston
BIPL,lightPiston
BIRD,lightPiston
BISC,lightPiston
BK17,helicopter
BKUT,lightPiston
BL11,lightPiston
BL17,lightPiston
BL19,lightPiston
BL8,lightPiston
BLBU,lightPiston
BLCF,heavyJet
BLEN,lightPiston
BLKS,lightPiston
BLSA,lightPiston
BM6,lightPiston
BMAN,lightPiston
BN2P,lightPiston
BN2T,turboprop
BO40,lightPiston
BOLT,lightPiston
BOOM,lightPiston
BPAT,lightPiston
BPUM,lightPiston
BR14,lightPiston
BR23,lightPiston
BR54,lightPiston
BR60,lightPiston
BR61,lightPiston
BR8,lightPiston
BRAV,lightPiston
BRB2,helicopter
BREZ,lightPiston
BROU,lightPiston
BS60,turboprop
BSTP,helicopter
BSWN,lightPiston
BT36,lightPiston
BT7,mediumJet
BTB2,lightPiston
BTB3,lightPiston
BTUB,lightPiston
BU20,lightPiston
BU31,lightPiston
BU33,lightPiston
BU81,lightPiston
BUC,mediumJet
BUCA,lightPiston
BUSH,lightPiston
BW60,lightPiston
BW6T,lightPiston
BX2,lightPiston
C02T,turboprop
C04T,turboprop
C06T,turboprop
C07T,turboprop
C1,mediumJet
C101,regionalJet
C10T,turboprop
C119,lightPiston
C120,lightPiston
C123,lightPiston
C130,turboprop
C135,heavyJet
C140,lightPiston
C14T,turboprop
C15,mediumJet
C150,lightPiston
C152,lightPiston
C160,turboprop
C162,lightPiston
C17,heavyJet
C170,lightPiston
C172,lightPiston
C175,lightPiston
C177,lightPiston
C180,lightPiston
C182,lightPiston
C185,lightPiston
C188,lightPiston
C190,lightPiston
C195,lightPiston
C2,turboprop
C205,lightPiston
C206,lightPiston
C207,lightPiston
C208,turboprop
C210,lightPiston
C212,turboprop
C21T,turboprop
C22J,regionalJet
C240,lightPiston
C25A,regionalJet
C25B,regionalJet
C25C,regionalJet
C25M,regionalJet
C270,lightPiston
C27J,turboprop
C295,turboprop
C303,lightPiston
C306,lightPiston
C309,lightPiston
C30J,turboprop
C310,lightPiston
C311,lightPiston
C320,lightPiston
C335,lightPiston
C336,lightPiston
C337,lightPiston
C340,lightPiston
C365,turboprop
C402,lightPiston
C404,lightPiston
C408,turboprop
C411,lightPiston
C414,lightPiston
C42,lightPiston
C421,lightPiston
C425,turboprop
C441,turboprop
C46,lightPiston
C500,regionalJet
C501,regionalJet
C510,regionalJet
C525,regionalJet
C550,regionalJet
C551,regionalJet
C55B,regionalJet
C560,mediumJet
C56X,regionalJet
C5M,heavyJet
C650,mediumJet
C680,mediumJet
C68A,regionalJet
C700,mediumJet
C72R,lightPiston
C750,regionalJet
C77R,lightPiston
C82,lightPiston
C82R,lightPiston
C82S,lightPiston
C82T,lightPiston
C919,mediumJet
C97,lightPiston
CA12,turboprop
CA19,lightPiston
CA1P,lightPiston
CA1T,turboprop
CA25,lightPiston
CA3,lightPiston
CA4,lightPiston
CA41,lightPiston
CA6,lightPiston
CA61,lightPiston
CA65,lightPiston
CA7P,lightPiston
CA7T,turboprop
CA8,turboprop
CA9,turboprop
CABI,turboprop
CABN,lightPiston
CAD2,lightPiston
CAD4,lightPiston
CAML,lightPiston
CAMP,lightPiston
CAN4,lightPiston
CAPL,lightPiston
CAR,lightPiston
CARV,lightPiston
CASS,lightPiston
CAT,lightPiston
CAT1,lightPiston
CAT2,lightPiston
CAW,lightPiston
CB1,lightPiston
CC11,lightPiston
CC19,lightPiston
CD2,turboprop
CDC6,lightPiston
CDUS,lightPiston
CDW1,lightPiston
CE15,lightPiston
CE22,lightPiston
CE23,lightPiston
CE25,lightPiston
CE27,lightPiston
CE43,lightPiston
CEL5,lightPiston
CELR,lightPiston
CENT,lightPiston
CFRE,lightPiston
CG3,lightPiston
CGAN,lightPiston
CH1,turboprop
CH10,lightPiston
CH12,helicopter
CH14,helicopter
CH15,lightPiston
CH18,lightPiston
CH20,lightPiston
CH25,lightPiston
CH2T,lightPiston
CH3,lightPiston
CH30,lightPiston
CH40,lightPiston
CH50,lightPiston
CH60,lightPiston
CH62,lightPiston
CH64,lightPiston
CH65,lightPiston
CH7,helicopter
CH70,lightPiston
CH75,lightPiston
CH7A,lightPiston
CH7B,lightPiston
