# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
IR25,turboprop
IR27,lightPiston
IR28,lightPiston
IR46,lightPiston
IR99,regionalJet
IRBS,lightPiston
IS2,helicopter
IS28,lightPiston
ISAT,lightPiston
ISPT,lightPiston
J1,lightPiston
J10,mediumJet
J177,lightPiston
J2,lightPiston
J20,mediumJet
J3,lightPiston
J300,lightPiston
J328,mediumJet
J4,lightPiston
J400,lightPiston
J40E,unpowered
J4B2,lightPiston
J5,lightPiston
J600,lightPiston
J8A,mediumJet
J8B,mediumJet
JAB2,lightPiston
JAB4,lightPiston
JABI,lightPiston
JACE,lightPiston
JAG2,helicopter
JAGR,mediumJet
JAJ5,lightPiston
JAJ6,lightPiston
JANU,unpowered
JARO,lightPiston
JAS4,helicopter
JAST,regionalJet
JB15,lightPiston
JC01,lightPiston
JC02,lightPiston
JCOM,mediumJet
JCRU,turboprop
JD2,lightPiston
JDOE,lightPiston
JE2,lightPiston
JFOX,lightPiston
JH7,mediumJet
JK05,lightPiston
JL9,mediumJet
JN76,lightPiston
JPM1,lightPiston
JPRO,regionalJet
JRC1,lightPiston
JRO,lightPiston
JS1J,regionalJet
JS2J,regionalJet
JS2P,lightPiston
JS3,turboprop
JS31,turboprop
JS32,turboprop
JS3E,unpowered
JS3J,regionalJet
JS41,turboprop
JSX,regionalJet
JT2,lightPiston
JU52,lightPiston
JUN1,lightPiston
JUN2,lightPiston
JUNR,lightPiston
JUPI,lightPiston
K100,turboprop
K126,helicopter
K209,helicopter
K226,helicopter
K35E,heavyJet
K35R,heavyJet
K50,mediumJet
K51,lightPiston
K8,regionalJet
K900,turboprop
KA25,helicopter
KA26,helicopter
KA27,helicopter
KA32,helicopter
KA50,helicopter
KA52,helicopter
KA62,helicopter
KAAN,mediumJet
KAK1,lightPiston
KAK2,lightPiston
KAK3,lightPiston
KAT3,turboprop
KATB,lightPiston
KATR,lightPiston
KC2,heavyJet
KE3,heavyJet
KEHA,lightPiston
KELA,lightPiston
KELD,lightPiston
KERO,lightPiston
KEST,turboprop
KF21,mediumJet
KFAB,lightPiston
KFAS,lightPiston
KFIR,mediumJet
KFIS,lightPiston
KH4,helicopter
KIS2,lightPiston
KIS4,lightPiston
KITH,lightPiston
KITI,lightPiston
KIWI,lightPiston
KK60,lightPiston
KL07,lightPiston
KL10,lightPiston
KL25,lightPiston
KL35,lightPiston
KLBR,lightPiston
KM2,lightPiston
KMAX,helicopter
KNTW,lightPiston
KODI,turboprop
KOLL,lightPiston
KP2,lightPiston
KP5,lightPiston
KR1,lightPiston
KR2,lightPiston
KR21,lightPiston
KR30,lightPiston
KR31,lightPiston
KR34,lightPiston
KRAG,lightPiston
KRAH,lightPiston
KRIC,lightPiston
KSTK,lightPiston
KT1,turboprop
KTOO,lightPiston
KZ2,lightPiston
KZ3,lightPiston
KZ4,lightPiston
KZ7,lightPiston
KZ8,lightPiston
KZLA,mediumJet
L10,lightPiston
L101,heavyJet
L11,lightPiston
L11E,lightPiston
L12,lightPiston
L13,lightPiston
L13M,lightPiston
L13S,lightPiston
L14,lightPiston
L15,mediumJet
L159,mediumJet
L18,lightPiston
L181,lightPiston
L188,turboprop
L200,lightPiston
L29,regionalJet
L29A,mediumJet
L29B,mediumJet
L37,lightPiston
L380,lightPiston
L39,regionalJet
L4,lightPiston
L40,lightPiston
L410,turboprop
L5,lightPiston
L59,regionalJet
L6,lightPiston
L60,lightPiston
L610,turboprop
L70,lightPiston
L8,lightPiston
L90,turboprop
LA25,lightPiston
LA4,lightPiston
LA60,lightPiston
LA6T,turboprop
LA8,lightPiston
LACO,lightPiston
LAE1,unpowered
LAKR,lightPiston
LAKX,lightPiston
LAMA,helicopter
LANC,lightPiston
LAR1,regionalJet
LARK,lightPiston
LAST,lightPiston
LBUG,lightPiston
LCA,mediumJet
LCB,lightPiston
LCH,helicopter
LCR,lightPiston
LEG2,lightPiston
LEGD,lightPiston
LESP,lightPiston
LEV2,lightPiston
LEV4,lightPiston
LGEZ,lightPiston
LGND,lightPiston
LH10,lightPiston
LIBE,lightPiston
LION,lightPiston
LJ23,regionalJet
LJ24,regionalJet
LJ25,regionalJet
LJ28,regionalJet
LJ31,mediumJet
LJ35,mediumJet
LJ40,mediumJet
LJ45,regionalJet
LJ55,mediumJet
LJ60,regionalJet
LJ70,mediumJet
LJ75,mediumJet
LK17,lightPiston
LK19,lightPiston
LK20,lightPiston
LK7E,unpowered
LM5,lightPiston
LM5X,lightPiston
LM7,lightPiston
LMC1,lightPiston
LMK1,lightPiston
LN27,lightPiston
LN3,lightPiston
LNC2,lightPiston
LNC4,lightPiston
LNCE,lightPiston
LNP4,turboprop
LNT4,turboprop
LOCA,lightPiston
LOVE,lightPiston
LP1,lightPiston
LR2T,helicopter
LS10,lightPiston
LS2,lightPiston
LS4,unpowered
LS8,unpowered
LS9,lightPiston
LSTR,lightPiston
LTNG,mediumJet
LUL5,lightPiston
LUL6,lightPiston
LUL7,lightPiston
LUL8,lightPiston
LW20,lightPiston
LW40,lightPiston
LWIN,lightPiston
LX32,lightPiston
LX34,lightPiston
LXR,lightPiston
LYNX,helicopter
LYSA,lightPiston
M10,lightPiston
M101,turboprop
M106,lightPiston
M108,lightPiston
M110,lightPiston
M15,regionalJet
M17,mediumJet
M171,helicopter
M18,lightPiston
M18T,turboprop
M2,lightPiston
M200,lightPiston
M20P,lightPiston
M20T,lightPiston
M21,lightPiston
M212,lightPiston
M22,lightPiston
M24,lightPiston
M26,lightPiston
M28,turboprop
M2HK,lightPiston
M308,lightPiston
M326,regionalJet
M339,regionalJet
M345,regionalJet
M346,mediumJet
M360,lightPiston
M36J,lightPiston
M4,lightPiston
M404,lightPiston
M5,lightPiston
M55,mediumJet
M6,lightPiston
M600,turboprop
M7,lightPiston
M700,turboprop
M74,helicopter
M7T,turboprop
M8,lightPiston
M9,lightPiston
MA1,lightPiston
MA5,lightPiston
MA60,turboprop
MA6H,turboprop
MAGC,lightPiston
MAGI,lightPiston
MAGN,lightPiston
MAJR,lightPiston
MAKO,lightPiston
MAMB,lightPiston
MAME,lightPiston
MARS,lightPiston
MAVR,lightPiston
MB70,lightPiston
MB80,lightPiston
MC01,lightPiston
MC10,lightPiston
MC23,mediumJet
MC45,lightPiston
MC90,lightPiston
MCOU,lightPiston
MCOY,lightPiston
MCR1,lightPiston
MCR4,lightPiston
MCRR,lightPiston
MCUL,lightPiston
MD11,heavyJet
MD3,lightPiston
MD3R,lightPiston
MD52,helicopter
MD60,helicopter
MD81,mediumJet
MD82,mediumJet
MD83,mediumJet
MD87,mediumJet
MD88,mediumJet
MD90,mediumJet
ME08,lightPiston
ME09,lightPiston
ME62,regionalJet
MEAD,lightPiston
MEL2,lightPiston
MERK,lightPiston
MESS,lightPiston
METR,mediumJet
MF17,lightPiston
MG15,regionalJet
MG17,regionalJet
MG19,mediumJet
MG21,mediumJet
MG23,mediumJet
MG25,mediumJet
MG29,mediumJet
MG31,mediumJet
MG44,mediumJet
MGIC,lightPiston
MGNM,lightPiston
MGUL,lightPiston
MH20,helicopter
MH46,lightPiston
MI10,helicopter
MI14,helicopter
MI2,helicopter
MI24,helicopter
MI26,helicopter
MI28,helicopter
MI34,helicopter
MI38,helicopter
MI4,helicopter
MI6,helicopter
MI8,helicopter
MIDR,lightPiston
MIMP,lightPiston
MIMU,lightPiston
MIR2,mediumJet
MIRA,mediumJet
MITE,lightPiston
MJ10,lightPiston
MJ12,lightPiston
MJ1H,lightPiston
MJ2,lightPiston
MJ4,lightPiston
MJ5,lightPiston
MJ51,lightPiston
MJ53,lightPiston
MJ7,lightPiston
MJ77,lightPiston
MJ8,lightPiston
MJ80,lightPiston
MJ9,lightPiston
MJ90,lightPiston
MLER,lightPiston
MM14,lightPiston
MM16,lightPiston
MM19,lightPiston
MM21,lightPiston
MM22,lightPiston
MM24,lightPiston
MMAX,lightPiston
MMUT,lightPiston
MNEX,lightPiston
MOCU,lightPiston
MOGO,lightPiston
MOL1,lightPiston
MON2,lightPiston
MONA,lightPiston
MONI,lightPiston
MOR2,lightPiston
MOSP,lightPiston
MOSQ,lightPiston
MOTO,lightPiston
MP02,lightPiston
MP20,lightPiston
MR25,lightPiston
MR35,lightPiston
MR3T,turboprop
MRAI,lightPiston
MRF1,mediumJet
MRMD,lightPiston
MRTN,lightPiston
MS1,lightPiston
MS23,lightPiston
MS31,lightPiston
MS73,lightPiston
MS76,regionalJet
MSAI,lightPiston
MSQ2,lightPiston
MT,lightPiston
MT2,mediumJet
MU2,turboprop
MU23,lightPiston
MU30,mediumJet
MUS2,lightPiston
MVN1,lightPiston
MVRK,lightPiston
MX10,lightPiston
MX1T,lightPiston
MX2,lightPiston
MX58,lightPiston
MX65,lightPiston
MX80,lightPiston
MXS,lightPiston
MY12,lightPiston
MY13,lightPiston
MYA4,heavyJet
MYS4,mediumJet
N110,lightPiston
N120,lightPiston
N219,turboprop
N250,turboprop
N260,turboprop
N262,turboprop
N3,lightPiston
N320,lightPiston
N340,lightPiston
N3N,lightPiston
N5,lightPiston
NA40,helicopter
NARN,lightPiston
NAVI,lightPiston
NC85,lightPiston
ND1T,turboprop
NDAC,lightPiston
NDAT,lightPiston
NDIC,lightPiston
NFEX,turboprop
NG4,lightPiston
NG5,lightPiston
NH90,helicopter
NI28,lightPiston
NIBB,lightPiston
NIMB,unpowered
NIPR,lightPiston
NM5,lightPiston
NMCU,lightPiston
NNJA,lightPiston
NOMA,turboprop
NORA,lightPiston
NORS,lightPiston
NPOR,lightPiston
NST6,lightPiston
NSTR,lightPiston
NT10,lightPiston
NXT,lightPiston
O1,lightPiston
O3,lightPiston
OCNR,lightPiston
OH1,helicopter
OKHO,lightPiston
OM1,lightPiston
OMGA,lightPiston
OMLA,turboprop
OMSD,lightPiston
ONE,lightPiston
ONEX,lightPiston
OPCA,lightPiston
OR10,lightPiston
OR12,lightPiston
OSCR,lightPiston
OVOD,lightPiston
OZZI,lightPiston
P06T,lightPiston
P1,mediumJet
P100,lightPiston
P130,lightPiston
P136,lightPiston
P148,lightPiston
P149,lightPiston
P180,turboprop
P18T,turboprop
P19,lightPiston
P1HH,turboprop
P2,lightPiston
P208,lightPiston
P210,lightPiston
P212,lightPiston
P220,lightPiston
P230,lightPiston
P250,lightPiston
P25B,lightPiston
P27,lightPiston
P270,lightPiston
P28A,lightPiston
P28B,lightPiston
P28R,lightPiston
P28S,lightPiston
P28T,lightPiston
P28U,lightPiston
P3,turboprop
P32R,lightPiston
P32T,lightPiston
P337,lightPiston
P38,lightPiston
P39,lightPiston
P40,lightPiston
P46T,turboprop
P47,lightPiston
P4Y,lightPiston
P50,lightPiston
P51,lightPiston
P57,lightPiston
P60,lightPiston
P61,lightPiston
P63,lightPiston
P66P,lightPiston
P66T,turboprop
P68,lightPiston
P68T,turboprop
P70,lightPiston
P750,turboprop
P8,mediumJet
P80,lightPiston
P82,lightPiston
PA11,lightPiston
PA12,lightPiston
PA14,lightPiston
PA15,lightPiston
PA16,lightPiston
PA17,lightPiston
PA18,lightPiston
PA20,lightPiston
PA22,lightPiston
PA23,lightPiston
PA24,lightPiston
PA25,lightPiston
PA27,lightPiston
PA28,lightPiston
PA30,lightPiston
PA31,lightPiston
PA32,lightPiston
PA34,lightPiston
PA36,lightPiston
PA38,lightPiston
PA44,lightPiston
PA46,lightPiston
PACE,lightPiston
PAGO,lightPiston
PANT,lightPiston
PAR1,lightPiston
PAR4,lightPiston
PARA,unpowered
PARL,lightPiston
PAT4,turboprop
PAUL,lightPiston
PAV4,lightPiston
PAY1,turboprop
PAY2,turboprop
PAY3,turboprop
PAY4,turboprop
PC12,turboprop
PC21,turboprop
PC24,mediumJet
PC6P,lightPiston
PC6T,turboprop
PC7,turboprop
PC9,turboprop
PCA2,lightPiston
PDIG,lightPiston
PECR,lightPiston
PEGA,lightPiston
PEGZ,lightPiston
PELI,lightPiston
PEMB,lightPiston
PETL,lightPiston
PETR,lightPiston
PGEE,lightPiston
PGK1,lightPiston
PHIL,helicopter
PHIX,lightPiston
PIAE,unpowered
PIAT,lightPiston
PICO,lightPiston
PILL,lightPiston
PINO,lightPiston
PIPA,lightPiston
PISI,lightPiston
PIT4,unpowered
PITA,lightPiston
PITE,unpowered
PIVE,unpowered
PIVI,lightPiston
PK11,lightPiston
PK15,lightPiston
PK18,lightPiston
PK20,lightPiston
PK21,lightPiston
PK23,lightPiston
PK25,lightPiston
PKAN,lightPiston
PL1,lightPiston
PL12,lightPiston
PL2,lightPiston
PL4,lightPiston
PL9,lightPiston
PLUS,lightPiston
PNR2,lightPiston
PNR3,lightPiston
PNR4,lightPiston
PNTH,lightPiston
PO2,lightPiston
PO60,lightPiston
POLI,lightPiston
PONY,lightPiston
PP2,lightPiston
PP3,lightPiston
PPRO,lightPiston
PRBP,lightPiston
PRBR,lightPiston
PRCE,lightPiston
PREN,lightPiston
PRET,lightPiston
PREX,lightPiston
PRIM,lightPiston
PRM1,regionalJet
PROC,lightPiston
PROT,lightPiston
PROW,lightPiston
PRPR,lightPiston
PRTS,regionalJet
PRXT,turboprop
PSTM,lightPiston
PSW4,helicopter
PT21,lightPiston
PT22,lightPiston
PT70,lightPiston
PT80,lightPiston
PTMS,lightPiston
PTRL,lightPiston
PTS1,lightPiston
PTS2,lightPiston
PTSS,lightPiston
PUL6,lightPiston
PULR,lightPiston
PULS,lightPiston
PUMA,helicopter
PUP,lightPiston
PURS,lightPiston
PUSH,lightPiston
PVTR,turboprop
PZ01,lightPiston
PZ02,lightPiston
PZ04,lightPiston
PZ06,lightPiston
PZ12,lightPiston
PZ3T,turboprop
PZ4M,lightPiston
PZ6T,turboprop
Q01,lightPiston
Q1,lightPiston
Q25,mediumJet
Q28,regionalJet
Q4,mediumJet
Q5,mediumJet
Q58,regionalJet
Q9,turboprop
QAIL,lightPiston
QALT,lightPiston
QIC2,lightPiston
QINT,lightPiston
QR01,lightPiston
QUAS,lightPiston
QUIC,lightPiston
R100,lightPiston
R109,lightPiston
R11,lightPiston
R12,lightPiston
R135,heavyJet
R185,lightPiston
R2,lightPiston
R200,lightPiston
R22,helicopter
R300,lightPiston
R4,helicopter
R44,helicopter
R66,helicopter
R721,mediumJet
R722,mediumJet
R90F,lightPiston
R90R,lightPiston
R90T,turboprop
RA14,lightPiston
RA17,lightPiston
RAF2,lightPiston
RAID,lightPiston
RAIL,lightPiston
RALL,lightPiston
RANG,lightPiston
RARO,lightPiston
RAV3,lightPiston
RAV5,lightPiston
RAZM,lightPiston
RBEL,lightPiston
RC3,lightPiston
RC70,lightPiston
RCAL,lightPiston
RD03,lightPiston
RD20,lightPiston
RDH2,lightPiston
RELI,lightPiston
RENE,lightPiston
REV6,lightPiston
RF10,lightPiston
RF3,lightPiston
RF4,lightPiston
RF47,lightPiston
RF5,lightPiston
RF6,lightPiston
RF9,lightPiston
RFAL,mediumJet
RGNT,lightPiston
RISN,lightPiston
RJ03,lightPiston
RJ1H,regionalJet
RJ70,mediumJet
RJ85,regionalJet
RK5,lightPiston
RLU1,lightPiston
RMOU,helicopter
RNGR,lightPiston
RODS,lightPiston
ROND,lightPiston
ROSE,lightPiston
RP1,helicopter
RPUP,lightPiston
RS12,lightPiston
RS18,lightPiston
RS20,lightPiston
RS21,lightPiston
RTA4,lightPiston
RUBI,lightPiston
RV10,lightPiston
RV12,lightPiston
RV14,lightPiston
RV15,lightPiston
RV3,lightPiston
RV4,lightPiston
RV4T,turboprop
RV6,lightPiston
RV7,lightPiston
RV8,lightPiston
RV9,lightPiston
RVAL,helicopter
RVST,lightPiston
RW19,lightPiston
RW20,lightPiston
RW22,lightPiston
RW26,lightPiston
RW3,lightPiston
RYSA,turboprop
RYST,lightPiston
S05F,lightPiston
S05R,lightPiston
S1,lightPiston
S10,lightPiston
S107,lightPiston
S108,lightPiston
S10S,lightPiston
S11,lightPiston
S12,lightPiston
S122,lightPiston
S12S,lightPiston
S15S,lightPiston
S15U,lightPiston
S160,lightPiston
S200,regionalJet
S202,lightPiston
S208,lightPiston
S21,lightPiston
S211,regionalJet
S223,lightPiston
S22T,lightPiston
S274,helicopter
S278,helicopter
S285,helicopter
S2P,lightPiston
S2T,turboprop
S3,mediumJet
S330,helicopter
S355,lightPiston
S360,helicopter
S37,mediumJet
S38,lightPiston
S39,lightPiston
S4,lightPiston
S400,lightPiston
S401,regionalJet
S434,helicopter
S45,lightPiston
S450,lightPiston
S51,helicopter
S51D,lightPiston
S52,helicopter
S55P,helicopter
S55T,helicopter
S58P,helicopter
S58T,helicopter
S6,lightPiston
S601,regionalJet
S61,helicopter
S61R,helicopter
S62,helicopter
S64,helicopter
S65C,helicopter
S716,regionalJet
S76,helicopter
S900,lightPiston
S92,helicopter
S97,helicopter
SA02,lightPiston
SA03,lightPiston
SA04,lightPiston
SA05,lightPiston
SA10,lightPiston
SA11,lightPiston
SA2,lightPiston
SA20,lightPiston
SA3,lightPiston
SA30,lightPiston
SA37,lightPiston
SA38,lightPiston
SA50,lightPiston
SA6,lightPiston
SA6E,turboprop
SA7,lightPiston
SA70,lightPiston
SA75,lightPiston
SA8T,turboprop
SAB2,lightPiston
SABA,lightPiston
SABW,lightPiston
SACE,lightPiston
SACR,lightPiston
SAFF,lightPiston
SAH1,lightPiston
SAKO,lightPiston
SALB,lightPiston
SAM,lightPiston
SAND,lightPiston
SAPH,lightPiston
SASH,lightPiston
SASP,lightPiston
SASY,lightPiston
SATA,regionalJet
SAVA,lightPiston
SAVG,lightPiston
SB05,regionalJet
SB1,helicopter
SB20,turboprop
SB29,mediumJet
SB32,mediumJet
SB35,mediumJet
SB37,mediumJet
SB39,mediumJet
SB7,lightPiston
SB91,lightPiston
SBD,lightPiston
SBLS,lightPiston
SBOY,lightPiston
SBR1,mediumJet
SBR2,mediumJet
SC01,lightPiston
SC7,turboprop
SCAM,lightPiston
SCEP,lightPiston
SCII,lightPiston
SCOM,lightPiston
SCOR,helicopter
SCOU,helicopter
SCRO,lightPiston
SCTR,lightPiston
SCUB,lightPiston
SCW1,lightPiston
SD2,lightPiston
SD4,lightPiston
SDUS,lightPiston
SE5A,lightPiston
SE5R,lightPiston
SEAT,turboprop
SEAW,lightPiston
SERA,lightPiston
SERV,notAircraft
SF2,lightPiston
SF23,lightPiston
SF24,lightPiston
SF25,lightPiston
SF27,lightPiston
SF28,lightPiston
SF31,lightPiston
SF34,turboprop
SF35,lightPiston
SF36,lightPiston
SF50,regionalJet
SG37,lightPiston
SG70,lightPiston
SG92,turboprop
SGRA,lightPiston
SGUP,turboprop
SH09,helicopter
SH33,turboprop
SH36,turboprop
SH4,helicopter
SH5,turboprop
SHAC,lightPiston
SHAW,mediumJet
SHEA,lightPiston
SHEK,lightPiston
SHER,lightPiston
SHIP,notAircraft
SHOE,lightPiston
SHOP,lightPiston
SHOR,lightPiston
SHRK,lightPiston
SHRT,turboprop
SIDE,lightPiston
SIGM,lightPiston
SILH,lightPiston
SIR2,lightPiston
SIRA,lightPiston
SJ30,regionalJet
SK10,lightPiston
SK70,lightPiston
SKAR,lightPiston
SKIF,lightPiston
SKIM,lightPiston
SKRA,lightPiston
SKYC,lightPiston
SKYO,lightPiston
SKYR,lightPiston
SL1,lightPiston
SL39,lightPiston
SL90,lightPiston
SLCH,heavyJet
SLG2,lightPiston
SLG4,lightPiston
SLH4,lightPiston
SLK3,lightPiston
SLK5,lightPiston
SM01,lightPiston
SM19,turboprop
SM20,turboprop
SM60,lightPiston
SM92,lightPiston
SMAX,lightPiston
SMB2,mediumJet
SNAD,lightPiston
SNAP,lightPiston
SNGY,lightPiston
SNOS,lightPiston
SNS2,lightPiston
SNS7,lightPiston
SNS9,lightPiston
SNTA,lightPiston
SOK2,lightPiston
SOKL,lightPiston
SOL2,unpowered
SOLI,lightPiston
SONX,lightPiston
SORA,lightPiston
SP20,lightPiston
SP33,regionalJet
SP55,lightPiston
SP6E,lightPiston
SP7,lightPiston
SP91,lightPiston
SP95,lightPiston
SPA2,lightPiston
SPAR,lightPiston
SPDR,lightPiston
SPEL,lightPiston
SPGY,lightPiston
SPHA,lightPiston
SPIR,lightPiston
SPIT,lightPiston
SPKR,lightPiston
SPOR,lightPiston
SPR2,lightPiston
SPRT,lightPiston
SPST,lightPiston
SPUP,lightPiston
SQ2T,lightPiston
SQES,lightPiston
SR01,lightPiston
SR20,lightPiston
SR22,lightPiston
SRAC,lightPiston
SRAI,lightPiston
SRAS,lightPiston
SRAY,lightPiston
SREY,lightPiston
SS2P,lightPiston
SS2T,turboprop
SSAB,mediumJet
SSC,lightPiston
SSTL,lightPiston
SSTM,lightPiston
ST1,lightPiston
ST10,lightPiston
ST3,lightPiston
ST30,lightPiston
ST4,lightPiston
ST6,lightPiston
ST60,lightPiston
ST75,lightPiston
ST87,lightPiston
STAL,lightPiston
STAR,turboprop
STAT,turboprop
STCH,lightPiston
STFF,lightPiston
STG2,lightPiston
STIL,lightPiston
STLN,turboprop
STOR,lightPiston
STR2,lightPiston
STRA,lightPiston
STRE,lightPiston
STRI,lightPiston
STRK,regionalJet
STRM,lightPiston
STST,lightPiston
SU17,mediumJet
SU24,mediumJet
SU25,mediumJet
SU26,lightPiston
SU27,mediumJet
SU29,lightPiston
SU31,lightPiston
SU38,lightPiston
SU57,mediumJet
SU7,mediumJet
SU80,turboprop
SU95,mediumJet
SUBA,lightPiston
SUCO,helicopter
SUNV,lightPiston
SURN,helicopter
SURU,lightPiston
SUSO,lightPiston
SV4,lightPiston
SVNH,lightPiston
SW18,lightPiston
SW2,turboprop
SW3,turboprop
SW4,turboprop
SWAK,lightPiston
SWAT,lightPiston
SWFT,regionalJet
SWIN,lightPiston
SWOR,lightPiston
SX30,lightPiston
SYCA,helicopter
SYMP,lightPiston
SYNC,lightPiston
SZ45,lightPiston
SZ9M,lightPiston
T1,regionalJet
T10,lightPiston
T101,turboprop
T134,mediumJet
T154,mediumJet
T160,heavyJet
T18,lightPiston
T19,lightPiston
T2,regionalJet
T204,mediumJet
T206,lightPiston
T210,lightPiston
T211,lightPiston
T22M,mediumJet
T250,lightPiston
T28,lightPiston
T30,lightPiston
T33,mediumJet
T334,mediumJet
T34P,lightPiston
T34T,turboprop
T35,lightPiston
T37,regionalJet
T38,regionalJet
T4,mediumJet
T40,lightPiston
T411,lightPiston
T415,lightPiston
T419,lightPiston
T5,turboprop
T50,lightPiston
T51,lightPiston
T6,lightPiston
T7,turboprop
TA15,lightPiston
TA16,lightPiston
TA20,lightPiston
TAA1,lightPiston
TAGO,lightPiston
TAIL,lightPiston
TAMP,lightPiston
TARO,lightPiston
TARR,lightPiston
TAYA,lightPiston
TAYB,lightPiston
TAYD,lightPiston
TB05,lightPiston
TB20,lightPiston
TB21,lightPiston
TB30,lightPiston
TB31,turboprop
TBEE,lightPiston
TBM,lightPiston
TBM7,turboprop
TBM8,turboprop
TBM9,turboprop
TBR3,lightPiston
TC2,lightPiston
TCAT,lightPiston
TCOU,lightPiston
TD1,lightPiston
TD2,turboprop
TD3,lightPiston
TEAL,lightPiston
TERM,lightPiston
TERR,lightPiston
TEST,notAircraft
TEX2,turboprop
TEXA,lightPiston
TF19,lightPiston
TF21,lightPiston
TF22,lightPiston
TFK2,lightPiston
TFOC,lightPiston
TFUN,lightPiston
TIAD,lightPiston
TIGR,helicopter
TIJU,lightPiston
TIPB,lightPiston
TJET,regionalJet
TL20,lightPiston
TL30,lightPiston
TLEG,turboprop
TM5,lightPiston
TMOT,lightPiston
TMUS,lightPiston
TNAV,lightPiston
TNDR,lightPiston
TOBA,lightPiston
TOOT,lightPiston
TOR,mediumJet
TOUR,lightPiston
TOXO,lightPiston
TP40,lightPiston
TPIL,turboprop
TPIN,lightPiston
TR1,lightPiston
TR20,lightPiston
TR26,lightPiston
TR55,lightPiston
TRAL,lightPiston
TRAP,lightPiston
TRBA,lightPiston
TRDO,lightPiston
TRF1,lightPiston
TRIM,lightPiston
TRIS,lightPiston
TRMA,lightPiston
TRWN,lightPiston
TS11,regionalJet
TS14,lightPiston
TS8,lightPiston
TSPT,lightPiston
TSTN,lightPiston
TSTR,lightPiston
TTRS,lightPiston
TTWO,lightPiston
TU16,mediumJet
TU22,mediumJet
TU95,turboprop
TUCA,turboprop
TUCR,lightPiston
TUCT,turboprop
TUL3,lightPiston
TUTR,lightPiston
TVL4,lightPiston
TVLB,lightPiston
TWEN,lightPiston
TWIR,lightPiston
TWR,notAircraft
TWSP,lightPiston
TWST,lightPiston
TZRV,regionalJet
U15,lightPiston
U16,lightPiston
U2,mediumJet
U21,turboprop
U22,lightPiston
UAV,unpowered
UBAT,lightPiston
UF10,lightPiston
UF13,lightPiston
UFHT,lightPiston
UH1,helicopter
UH12,helicopter
UH1Y,helicopter
UHEL,helicopter
UL10,lightPiston
UL20,lightPiston
UL2F,lightPiston
UL39,lightPiston
UL45,lightPiston
ULAC,lightPiston
ULPA,lightPiston
ULTS,helicopter
UM18,lightPiston
UNDEFINED,notAircraft
UNIV,lightPiston
URRA,lightPiston
US2,turboprop
UT60,lightPiston
UT65,lightPiston
UT66,lightPiston
UT75,lightPiston
UU12,lightPiston
V1,turboprop
V10,turboprop
V22,helicopter
V221,lightPiston
V252,lightPiston
V280,helicopter
V322,lightPiston
V351,lightPiston
V452,turboprop
V500,helicopter
VALI,lightPiston
VAMP,regionalJet
VANT,regionalJet
VAUT,mediumJet
VELO,lightPiston
VELT,lightPiston
VENT,unpowered
VEZE,lightPiston
VF2,lightPiston
VF35,mediumJet
VF60,turboprop
VG3T,lightPiston
VGUL,lightPiston
VIMA,lightPiston
VIPJ,regionalJet
VIPR,lightPiston
VISI,lightPiston
VIVA,lightPiston
VIX,lightPiston
VIXN,lightPiston
VJ22,lightPiston
VK3P,lightPiston
VK3T,turboprop
VL3,lightPiston
VL3T,turboprop
VLOT,turboprop
VLTT,turboprop
VM1,lightPiston
VNOM,mediumJet
VNTE,unpowered
VNTR,lightPiston
VO10,lightPiston
VOL2,lightPiston
VP2,lightPiston
VR20,lightPiston
VR7,lightPiston
VSON,lightPiston
VTOR,turboprop
VTRA,lightPiston
VTUR,lightPiston
VUT1,lightPiston
VVIG,lightPiston
VW10,lightPiston
VWIT,lightPiston
W11,lightPiston
W135,heavyJet
W201,lightPiston
W3,helicopter
W5BC,lightPiston
W62T,turboprop
WA40,lightPiston
WA41,lightPiston
WA42,lightPiston
WA50,lightPiston
WA80,lightPiston
WAC9,lightPiston
WACA,lightPiston
WACC,lightPiston
WACD,lightPiston
WACE,lightPiston
WACF,lightPiston
WACG,lightPiston
WACM,lightPiston
WACN,lightPiston
WACO,lightPiston
WACT,lightPiston
WAIX,lightPiston
WASP,helicopter
WB57,mediumJet
WBOO,lightPiston
WCAT,lightPiston
WDEX,lightPiston
WESX,helicopter
WF4U,lightPiston
WFOC,lightPiston
WFUR,lightPiston
WH1,lightPiston
WH4,turboprop
WHAT,lightPiston
WHIL,lightPiston
WHIS,lightPiston
WHIT,lightPiston
WHK2,mediumJet
WICH,lightPiston
WILT,lightPiston
WIND,lightPiston
WINE,lightPiston
WIRR,lightPiston
WISP,lightPiston
WLBY,lightPiston
WM2,lightPiston
WOPU,lightPiston
WP40,lightPiston
WP47,lightPiston
WS22,lightPiston
WSP,lightPiston
WT10,lightPiston
WT9,lightPiston
WUSH,lightPiston
WW1,lightPiston
WW23,mediumJet
WW24,mediumJet
WZ10,helicopter
WZER,lightPiston
X2,helicopter
X3,helicopter
X47B,mediumJet
X49,helicopter
X59,mediumJet
XA41,lightPiston
XA42,lightPiston
